label,is_sig_session,best_pair,best_abs_r,delta_h1_zero,delta_lambda2,delta_aspl
P1,1,p00 x Delta_peak,0.7624389700111714,0.022556390977443608,2.277386288193439,-0.1511289673411449
P10,1,p00 x Delta_stability,0.4093288963580653,-0.12030075187969924,0.5554868188431454,0.11449122307862503
P11,1,p00 x Alpha_mean,0.441707279127729,-0.05263157894736842,-0.41643389132486464,0.2497992812411849
P14,1,p10 x Gamma_mean,0.4218949493852361,-0.015037593984962405,0.6791907787015243,-0.33306789061060904
P17,1,p00 x Beta_mean,0.4434573762178075,0.18045112781954886,0.5862528650157004,-0.35883954566188847
P19,1,p11 x Gamma_mean,0.4800287162483438,-0.05263157894736842,0.2848301581694819,-0.25434085956703445
P2,1,p11 x Beta_mean,0.4189312487159362,-0.015037593984962405,0.7526345318908096,-0.08890845885650789
P20,1,p01 x Gamma_stability,0.4566463089303922,0.09022556390977443,-0.41878286397339703,0.04331694413816756
P21,1,p10 x Delta_peak,0.4090354510442771,0.37593984962406013,0.895532128549573,-0.44714477721984425
P23,1,p11 x Delta_mean,0.4004600333633835,0.14285714285714285,1.310746768257402,-0.40627527113339035
P25,1,p00 x Delta_peak,0.5228943432300089,0.18045112781954886,-0.798478283336542,0.14405778136202363
P26,1,p10 x Alpha_mean,0.4637270979100198,0.14285714285714285,-0.1435900614654666,0.07167150636383468
P3,1,p01 x Gamma_mean,0.4335562750982855,-0.10526315789473684,0.3400265685529398,-0.10094398448060016
P4,1,p10 x Delta_stability,0.5203675513444773,0.09022556390977443,0.2454928210617946,-0.09669996939309655
P5,1,p10 x Alpha_stability,0.4221579741936568,-0.10526315789473684,0.09573534190613531,0.11131176065913406
P8,1,p11 x Beta_mean,0.4660459711369092,0.03759398496240601,0.9806333575652091,0.207898132730989
P9,1,p10 x Theta_mean,0.5458278521826707,0.14285714285714285,0.2680775104356554,-0.10866898581819351
P12,0,p00 x Beta_mean,0.243819945586134,-0.10526315789473684,-0.5257528809573291,0.13561547435999444
P13,0,p10 x Delta_peak,0.3445917538893571,-0.05263157894736842,-0.03570339791666299,0.010914390195585266
P15,0,p11 x Theta_stability,0.3559802805164351,-0.15789473684210525,-0.9082219009374759,0.2240375785041797
P16,0,p01 x Theta_stability,0.3428223919787299,-0.10526315789473684,-1.1779085798292086,0.3558048264215614
P18,0,p11 x Gamma_mean,0.330142007687943,-0.015037593984962405,0.4552289938274754,0.6488025833232869
P22,0,p01 x Gamma_mean,0.280501123246997,0.14285714285714285,2.0796502042804677,-0.31727352714979906
P24,0,p01 x Beta_peak,0.3834145594911529,-0.05263157894736842,-0.3696375027469294,-0.05305051455873988
P6,0,p01 x Theta_stability,0.237214266794326,0.0,-0.2619607346898105,0.3159897870645554
P7,0,p00 x Delta_stability,0.2715956599135658,-0.10526315789473684,-0.7214069793549176,0.11709287242806976
