condition,significant_sessions,iteration
true,17,
false_session_matching,22,0.0
false_session_matching,15,1.0
false_session_matching,16,2.0
false_session_matching,16,3.0
false_session_matching,10,4.0
false_session_matching,16,5.0
false_session_matching,20,6.0
false_session_matching,13,7.0
false_session_matching,13,8.0
false_session_matching,19,9.0
false_session_matching,19,10.0
false_session_matching,14,11.0
false_session_matching,15,12.0
false_session_matching,17,13.0
false_session_matching,18,14.0
false_session_matching,17,15.0
false_session_matching,17,16.0
false_session_matching,18,17.0
false_session_matching,18,18.0
false_session_matching,13,19.0
false_session_matching,12,20.0
false_session_matching,17,21.0
false_session_matching,12,22.0
false_session_matching,16,23.0
false_session_matching,18,24.0
false_session_matching,15,25.0
false_session_matching,17,26.0
false_session_matching,17,27.0
false_session_matching,13,28.0
false_session_matching,14,29.0
false_session_matching,18,30.0
false_session_matching,14,31.0
false_session_matching,15,32.0
false_session_matching,15,33.0
false_session_matching,18,34.0
false_session_matching,13,35.0
false_session_matching,15,36.0
false_session_matching,17,37.0
false_session_matching,15,38.0
false_session_matching,15,39.0
false_session_matching,14,40.0
false_session_matching,16,41.0
false_session_matching,18,42.0
false_session_matching,16,43.0
false_session_matching,20,44.0
false_session_matching,14,45.0
false_session_matching,15,46.0
false_session_matching,19,47.0
false_session_matching,19,48.0
false_session_matching,16,49.0
false_session_matching,20,50.0
false_session_matching,16,51.0
false_session_matching,16,52.0
false_session_matching,19,53.0
false_session_matching,17,54.0
false_session_matching,16,55.0
false_session_matching,18,56.0
false_session_matching,19,57.0
false_session_matching,14,58.0
false_session_matching,17,59.0
false_session_matching,18,60.0
false_session_matching,21,61.0
false_session_matching,20,62.0
false_session_matching,16,63.0
false_session_matching,15,64.0
false_session_matching,17,65.0
false_session_matching,16,66.0
false_session_matching,16,67.0
false_session_matching,16,68.0
false_session_matching,20,69.0
false_session_matching,18,70.0
false_session_matching,15,71.0
false_session_matching,15,72.0
false_session_matching,18,73.0
false_session_matching,16,74.0
false_session_matching,12,75.0
false_session_matching,15,76.0
false_session_matching,16,77.0
false_session_matching,22,78.0
false_session_matching,15,79.0
false_session_matching,16,80.0
false_session_matching,12,81.0
false_session_matching,15,82.0
false_session_matching,13,83.0
false_session_matching,15,84.0
false_session_matching,13,85.0
false_session_matching,17,86.0
false_session_matching,17,87.0
false_session_matching,16,88.0
false_session_matching,18,89.0
false_session_matching,16,90.0
false_session_matching,17,91.0
false_session_matching,14,92.0
false_session_matching,21,93.0
false_session_matching,15,94.0
false_session_matching,19,95.0
false_session_matching,15,96.0
false_session_matching,20,97.0
false_session_matching,20,98.0
false_session_matching,17,99.0
random_fake_quantum,17,0.0
random_fake_quantum,14,1.0
random_fake_quantum,17,2.0
random_fake_quantum,16,3.0
random_fake_quantum,15,4.0
random_fake_quantum,15,5.0
random_fake_quantum,17,6.0
random_fake_quantum,17,7.0
random_fake_quantum,14,8.0
random_fake_quantum,17,9.0
random_fake_quantum,13,10.0
random_fake_quantum,15,11.0
random_fake_quantum,18,12.0
random_fake_quantum,14,13.0
random_fake_quantum,17,14.0
random_fake_quantum,18,15.0
random_fake_quantum,19,16.0
random_fake_quantum,13,17.0
random_fake_quantum,17,18.0
random_fake_quantum,15,19.0
random_fake_quantum,16,20.0
random_fake_quantum,17,21.0
random_fake_quantum,17,22.0
random_fake_quantum,16,23.0
random_fake_quantum,19,24.0
random_fake_quantum,15,25.0
random_fake_quantum,21,26.0
random_fake_quantum,13,27.0
random_fake_quantum,17,28.0
random_fake_quantum,17,29.0
random_fake_quantum,15,30.0
random_fake_quantum,15,31.0
random_fake_quantum,17,32.0
random_fake_quantum,13,33.0
random_fake_quantum,15,34.0
random_fake_quantum,13,35.0
random_fake_quantum,21,36.0
random_fake_quantum,16,37.0
random_fake_quantum,17,38.0
random_fake_quantum,18,39.0
random_fake_quantum,12,40.0
random_fake_quantum,17,41.0
random_fake_quantum,15,42.0
random_fake_quantum,22,43.0
random_fake_quantum,20,44.0
random_fake_quantum,16,45.0
random_fake_quantum,15,46.0
random_fake_quantum,19,47.0
random_fake_quantum,20,48.0
random_fake_quantum,18,49.0
random_fake_quantum,20,50.0
random_fake_quantum,18,51.0
random_fake_quantum,18,52.0
random_fake_quantum,15,53.0
random_fake_quantum,17,54.0
random_fake_quantum,17,55.0
random_fake_quantum,20,56.0
random_fake_quantum,14,57.0
random_fake_quantum,19,58.0
random_fake_quantum,16,59.0
random_fake_quantum,20,60.0
random_fake_quantum,15,61.0
random_fake_quantum,13,62.0
random_fake_quantum,19,63.0
random_fake_quantum,16,64.0
random_fake_quantum,17,65.0
random_fake_quantum,18,66.0
random_fake_quantum,15,67.0
random_fake_quantum,15,68.0
random_fake_quantum,19,69.0
random_fake_quantum,17,70.0
random_fake_quantum,17,71.0
random_fake_quantum,18,72.0
random_fake_quantum,15,73.0
random_fake_quantum,14,74.0
random_fake_quantum,16,75.0
random_fake_quantum,21,76.0
random_fake_quantum,19,77.0
random_fake_quantum,15,78.0
random_fake_quantum,17,79.0
random_fake_quantum,16,80.0
random_fake_quantum,16,81.0
random_fake_quantum,20,82.0
random_fake_quantum,15,83.0
random_fake_quantum,17,84.0
random_fake_quantum,15,85.0
random_fake_quantum,13,86.0
random_fake_quantum,21,87.0
random_fake_quantum,16,88.0
random_fake_quantum,19,89.0
random_fake_quantum,21,90.0
random_fake_quantum,18,91.0
random_fake_quantum,19,92.0
random_fake_quantum,18,93.0
random_fake_quantum,17,94.0
random_fake_quantum,18,95.0
random_fake_quantum,15,96.0
random_fake_quantum,17,97.0
random_fake_quantum,14,98.0
random_fake_quantum,15,99.0
